Repository,User,Pull number,Test,Situation
dotnet/orleans,rore,3130,TRUE,Merged
dotnet/orleans,skyaxl,3033,TRUE,Merged
dotnet/orleans,sudheesh001,2801,TRUE,Merged
dotnet/orleans,sumeetekbote,5193,TRUE,Merged
dotnet/orleans,taylorreece,3016,TRUE,Merged
dotnet/orleans,timbarker,3683,TRUE,Merged
dotnet/orleans,tralivali1234,2430,TRUE,Merged
dotnet/orleans,zcarson,1106,TRUE,Merged
DynamoDS/Dynamo,andyopayne,4843,TRUE,Merged
DynamoDS/Dynamo,hanskellner,81,TRUE,Merged
DynamoDS/Dynamo,kfogel,6170,TRUE,Merged
DynamoDS/Dynamo,k-u-s,5234,TRUE,Merged
DynamoDS/Dynamo,qingemeng,4899,TRUE,Merged
IdentityServer/IdentityServer3,aaronpowell,620,TRUE,Merged
IdentityServer/IdentityServer3,agray,1088,TRUE,Merged
IdentityServer/IdentityServer3,alexbacchin,1292,TRUE,Merged
IdentityServer/IdentityServer3,ambvdijk,962,TRUE,Merged
IdentityServer/IdentityServer3,ArturDorochowicz,3008,TRUE,Merged
IdentityServer/IdentityServer3,dandresini,36,TRUE,Merged
IdentityServer/IdentityServer3,danielbsig,629,TRUE,Merged
IdentityServer/IdentityServer3,denisbollinne,2315,TRUE,Merged
IdentityServer/IdentityServer3,Dulf,100,TRUE,Merged
IdentityServer/IdentityServer3,jdslavin,2412,TRUE,Merged
IdentityServer/IdentityServer3,KevinDockx,667,TRUE,Merged
IdentityServer/IdentityServer3,kking-envelope,2504,TRUE,Merged
IdentityServer/IdentityServer3,markalansee,207,TRUE,Merged
IdentityServer/IdentityServer3,photomoose,2752,TRUE,Merged
IdentityServer/IdentityServer3,ReadmeCritic,2179,TRUE,Merged
IdentityServer/IdentityServer3,ReeceWilliams7,2233,TRUE,Merged
IdentityServer/IdentityServer3,RyanMelenaNoesis,1572,TRUE,Merged
IdentityServer/IdentityServer3,slapointe,359,TRUE,Merged
IdentityServer/IdentityServer3,Sunzhuokai,2159,TRUE,Merged
IdentityServer/IdentityServer3,vidarkongsli,1962,TRUE,Merged
madskristensen/WebEssentials2013,DickvdBrink,1176,TRUE,Merged
madskristensen/WebEssentials2013,Grepsy,197,TRUE,Merged
madskristensen/WebEssentials2013,kipusoep,204,TRUE,Merged
madskristensen/WebEssentials2013,orand,279,TRUE,Merged
madskristensen/WebEssentials2013,xps,241,TRUE,Merged
aspnet/Mvc,awulkan,6714,TRUE,Merged
aspnet/Mvc,CaffeinatedCM,4587,TRUE,Merged
aspnet/Mvc,campersau,5189,TRUE,Merged
aspnet/Mvc,cjrosa,5330,TRUE,Merged
aspnet/Mvc,cottsak,4091,TRUE,Merged
aspnet/Mvc,Daniel15,2978,TRUE,Merged
aspnet/Mvc,FabienLavocat,7288,TRUE,Merged
aspnet/Mvc,geertdoornbos,4076,TRUE,Merged
aspnet/Mvc,genusP,3492,TRUE,Merged
aspnet/Mvc,hallatore,6412,TRUE,Merged
aspnet/Mvc,HenrikWM,6276,TRUE,Merged
aspnet/Mvc,herecydev,3555,TRUE,Merged
aspnet/Mvc,kfbyldy,4440,TRUE,Merged
aspnet/Mvc,lodejard,4000,TRUE,Merged
aspnet/Mvc,michielpost,4665,TRUE,Merged
aspnet/Mvc,mwass,3505,TRUE,Merged
aspnet/Mvc,nalanxiancai,7690,TRUE,Merged
aspnet/Mvc,robward-ms,7407,TRUE,Merged
aspnet/Mvc,run1206,3853,TRUE,Merged
aspnet/Mvc,saa1963,4412,TRUE,Merged
aspnet/Mvc,SaarCohen,1691,TRUE,Merged
aspnet/Mvc,Sigvaard,7814,TRUE,Merged
aspnet/Mvc,smitpatel,6202,TRUE,Merged
aspnet/Mvc,t0mburton,5490,TRUE,Merged
aspnet/Mvc,twirpx,5987,TRUE,Merged
aspnet/Mvc,TylerBrinkley,5978,TRUE,Merged
aspnet/XRE,alinapopa,877,TRUE,Merged
aspnet/XRE,CGijbels,1486,TRUE,Merged
aspnet/XRE,DamianEdwards,1206,TRUE,Merged
aspnet/XRE,grahamehorner,2877,TRUE,Merged
aspnet/XRE,henkmollema,1969,TRUE,Merged
aspnet/XRE,jamesqo,3276,TRUE,Merged
aspnet/XRE,jmloeffler,2585,TRUE,Merged
aspnet/XRE,mconnew,3292,TRUE,Merged
aspnet/XRE,mkosieradzki,2537,TRUE,Merged
aspnet/XRE,muratg,2739,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,abatishchev,2584,TRUE,Merged
