Repository,User,Pull number,Test,Situation
numpy/numpy,andreabedini,5889,TRUE,Merged
numpy/numpy,andu97,9892,TRUE,Merged
numpy/numpy,AnishShah,7134,TRUE,Merged
numpy/numpy,asford,3187,TRUE,Merged
numpy/numpy,aurel32,10832,TRUE,Merged
numpy/numpy,baeuml,2920,TRUE,Merged
numpy/numpy,befelix,8474,TRUE,Merged
numpy/numpy,behrmann,8596,TRUE,Merged
numpy/numpy,bennorth,8187,TRUE,Merged
numpy/numpy,bjoernthiel,10444,TRUE,Merged
numpy/numpy,bodtc,420,TRUE,Merged
numpy/numpy,brettrmurphy,4713,TRUE,Merged
numpy/numpy,brsr,8421,TRUE,Merged
numpy/numpy,bsipocz,6199,TRUE,Merged
numpy/numpy,bspinnler,3911,TRUE,Merged
numpy/numpy,bsteffensmeier,7229,TRUE,Merged
numpy/numpy,CAM-Gerlach,11642,TRUE,Merged
numpy/numpy,cancan101,8610,TRUE,Merged
numpy/numpy,carterbox,7896,TRUE,Merged
numpy/numpy,ceball,4289,TRUE,Merged
numpy/numpy,cel4,4960,TRUE,Merged
numpy/numpy,ChanderG,6131,TRUE,Merged
numpy/numpy,ChienliMa,4751,TRUE,Merged
numpy/numpy,cianci,372,TRUE,Merged
numpy/numpy,d5h,2794,TRUE,Merged
numpy/numpy,dakotalk,7863,TRUE,Merged
numpy/numpy,danielballan,11566,TRUE,Merged
numpy/numpy,danieljfarrell,3653,TRUE,Merged
numpy/numpy,DanielSank,5605,TRUE,Merged
numpy/numpy,daschaich,7671,TRUE,Merged
numpy/numpy,davidjn,8897,TRUE,Merged
numpy/numpy,DavidPowell,5636,TRUE,Merged
numpy/numpy,DavidToca,8643,TRUE,Merged
numpy/numpy,depristo,4765,TRUE,Merged
numpy/numpy,diego898,4637,TRUE,Merged
numpy/numpy,DmitriyValetov,9900,TRUE,Merged
numpy/numpy,drabach,8602,TRUE,Merged
numpy/numpy,drasmuss,7597,TRUE,Merged
numpy/numpy,dzagorny,6242,TRUE,Merged
numpy/numpy,eamartin,6057,TRUE,Merged
numpy/numpy,ecprice,3592,TRUE,Merged
numpy/numpy,ElieGouzien,9332,TRUE,Merged
numpy/numpy,emmenlau,7817,TRUE,Merged
numpy/numpy,EricSchles,12032,TRUE,Merged
numpy/numpy,eugene536,8695,TRUE,Merged
numpy/numpy,evanlimanto,8569,TRUE,Merged
numpy/numpy,faucon,6126,TRUE,Merged
numpy/numpy,fhs,3431,TRUE,Merged
numpy/numpy,flying-sheep,8667,TRUE,Merged
numpy/numpy,fo40225,10576,TRUE,Merged
numpy/numpy,FrancescAlted,267,TRUE,Merged
numpy/numpy,fred-lefebvre,10740,TRUE,Merged
numpy/numpy,g2p,2765,TRUE,Merged
numpy/numpy,Gabriel-p,5051,TRUE,Merged
numpy/numpy,GaelVaroquaux,2745,TRUE,Merged
numpy/numpy,garyo,4064,TRUE,Merged
numpy/numpy,gertingold,5623,TRUE,Merged
numpy/numpy,godber,4883,TRUE,Merged
numpy/numpy,gopalmeena,6831,TRUE,Merged
numpy/numpy,griffin-h,6679,TRUE,Merged
numpy/numpy,gthomsen,6064,TRUE,Merged
numpy/numpy,gyk,11754,TRUE,Merged
numpy/numpy,hamukazu,11203,TRUE,Merged
numpy/numpy,HaroldMills,3482,TRUE,Merged
numpy/numpy,heroxbd,8618,TRUE,Merged
numpy/numpy,hgomersall,219,TRUE,Merged
numpy/numpy,Hoops,3453,TRUE,Merged
numpy/numpy,hrw,2900,TRUE,Merged
numpy/numpy,hvy,10745,TRUE,Merged
numpy/numpy,Iceman9,6660,TRUE,Merged
numpy/numpy,ilam,4823,TRUE,Merged
numpy/numpy,ImportanceOfBeingErnest,8978,TRUE,Merged
numpy/numpy,inducer,3500,TRUE,Merged
numpy/numpy,int3,4525,TRUE,Merged
numpy/numpy,isedwards,2697,TRUE,Merged
numpy/numpy,isuruf,11525,TRUE,Merged
numpy/numpy,iwiwi,8326,TRUE,Merged
numpy/numpy,jamadden,3820,TRUE,Merged
numpy/numpy,jess010,4619,TRUE,Merged
numpy/numpy,jesseakt,8678,TRUE,Merged
numpy/numpy,jgehrcke,4215,TRUE,Merged
numpy/numpy,jiangnanhugo,10684,TRUE,Merged
numpy/numpy,jisaacso,5947,TRUE,Merged
numpy/numpy,jleahy,9336,TRUE,Merged
numpy/numpy,jlmuir,11950,TRUE,Merged
numpy/numpy,jmozmoz,3441,TRUE,Merged
numpy/numpy,jmrosen155,5731,TRUE,Merged
numpy/numpy,johntyree,5616,TRUE,Merged
numpy/numpy,jonathanunderwood,6355,TRUE,Merged
numpy/numpy,jor-,11503,TRUE,Merged
numpy/numpy,jorisvandenbossche,5914,TRUE,Merged
numpy/numpy,jove1,4377,TRUE,Merged
numpy/numpy,jphalip,3002,TRUE,Merged
numpy/numpy,jtpio,7417,TRUE,Merged
numpy/numpy,jurnix,4453,TRUE,Merged
numpy/numpy,jusjusjus,9893,TRUE,Merged
numpy/numpy,keflavich,3257,TRUE,Merged
numpy/numpy,khaeru,350,TRUE,Merged
numpy/numpy,kitchoi,10278,TRUE,Merged
numpy/numpy,kiwifb,6656,TRUE,Merged
numpy/numpy,kjordahl,7747,TRUE,Merged
numpy/numpy,Kreiswolke,5584,TRUE,Merged
numpy/numpy,ktisha,7639,TRUE,Merged
numpy/numpy,kumanna,3436,TRUE,Merged
numpy/numpy,levitsky,5572,TRUE,Merged
numpy/numpy,louispotok,10708,TRUE,Merged
numpy/numpy,loujine,472,TRUE,Merged
numpy/numpy,madsmpedersen,5371,TRUE,Merged
numpy/numpy,mamikonyan,4920,TRUE,Merged
numpy/numpy,marshallward,7445,TRUE,Merged
numpy/numpy,matejak,7530,TRUE,Merged
numpy/numpy,mathijs-dumon,4722,TRUE,Merged
numpy/numpy,maxalbert,3122,TRUE,Merged
numpy/numpy,mcmtroffaes,6630,TRUE,Merged
numpy/numpy,mengt,6465,TRUE,Merged
numpy/numpy,mfkasim91,11961,TRUE,Merged
numpy/numpy,MichaelAquilina,4762,TRUE,Merged
numpy/numpy,MichaelCurrie,5770,TRUE,Merged
numpy/numpy,michelmno,4550,TRUE,Merged
numpy/numpy,minrk,8762,TRUE,Merged
numpy/numpy,msabramo,290,TRUE,Merged
numpy/numpy,musically-ut,6065,TRUE,Merged
numpy/numpy,nafest,9814,TRUE,Merged
numpy/numpy,naritta,5726,TRUE,Merged
numpy/numpy,naveenarun,8080,TRUE,Merged
numpy/numpy,ncgeib,10624,TRUE,Merged
numpy/numpy,ndjensen,6072,TRUE,Merged
numpy/numpy,NeilGirdhar,3986,TRUE,Merged
numpy/numpy,newville,5592,TRUE,Merged
numpy/numpy,nforro,7515,TRUE,Merged
numpy/numpy,njase,8081,TRUE,Merged
numpy/numpy,nkoep,3918,TRUE,Merged
numpy/numpy,notsimon,4849,TRUE,Merged
numpy/numpy,olamilekan000,11057,TRUE,Merged
numpy/numpy,orbit-stabilizer,10054,TRUE,Merged
numpy/numpy,orestisf1993,10831,TRUE,Merged
numpy/numpy,pchanial,10872,TRUE,Merged
numpy/numpy,pdebuyl,8020,TRUE,Merged
numpy/numpy,person142,8183,TRUE,Merged
numpy/numpy,peterjc,2725,TRUE,Merged
numpy/numpy,Phaiax,6797,TRUE,Merged
numpy/numpy,pmehta1203,10842,TRUE,Merged
numpy/numpy,potocpav,8327,TRUE,Merged
numpy/numpy,prateeks92,10658,TRUE,Merged
numpy/numpy,pslacerda,8050,TRUE,Merged
numpy/numpy,r0fls,6653,TRUE,Merged
numpy/numpy,RobberPhex,5203,TRUE,Merged
numpy/numpy,rproepp,4502,TRUE,Merged
numpy/numpy,rtjd,4262,TRUE,Merged
numpy/numpy,sam09,7027,TRUE,Merged
numpy/numpy,saschpe,3616,TRUE,Merged
numpy/numpy,scivision,11813,TRUE,Merged
numpy/numpy,sh0nk,11556,TRUE,Merged
numpy/numpy,shivam2012,10406,TRUE,Merged
numpy/numpy,siavashserver,10711,TRUE,Merged
numpy/numpy,silenc3r,11440,TRUE,Merged
numpy/numpy,sjvs,11735,TRUE,Merged
numpy/numpy,sobomax,8227,TRUE,Merged
numpy/numpy,SoumitraAgarwal,6432,TRUE,Merged
numpy/numpy,soupault,9255,TRUE,Merged
numpy/numpy,stromnov,3992,TRUE,Merged
numpy/numpy,tapasweni-pathak,6916,TRUE,Merged
numpy/numpy,tdsmith,5865,TRUE,Merged
numpy/numpy,the-rccg,11299,TRUE,Merged
numpy/numpy,timmie,2710,TRUE,Merged
numpy/numpy,tkf,328,TRUE,Merged
numpy/numpy,TomasTomecek,3550,TRUE,Merged
numpy/numpy,tomyun,3403,TRUE,Merged
