Repository,User,Frequency,,
elasticsearch_elasticsearch.csv,vladimirdolzhenko,30,NA,NA
elasticsearch_elasticsearch.csv,wangzhenhui1992,4,NA,NA
elasticsearch_elasticsearch.csv,wwken,5,NA,NA
elasticsearch_elasticsearch.csv,xuzha,26,NA,NA
elasticsearch_elasticsearch.csv,ycombinator,8,NA,NA
elasticsearch_elasticsearch.csv,ywelsch,124,NA,NA
enonic_xp.csv,abiaskosty,276,NA,NA
enonic_xp.csv,alansemenov,114,NA,NA
enonic_xp.csv,aro,185,NA,NA
enonic_xp.csv,ashklianko,410,NA,NA
enonic_xp.csv,edloidas,240,NA,NA
enonic_xp.csv,GlennRicaud,287,NA,NA
enonic_xp.csv,hza,45,NA,NA
enonic_xp.csv,ljl,5,NA,NA
enonic_xp.csv,NULL,29,NA,NA
enonic_xp.csv,pmi,151,NA,NA
enonic_xp.csv,runarmyklebust,73,NA,NA
enonic_xp.csv,rya,139,NA,NA
enonic_xp.csv,sgauruseu,3,NA,NA
enonic_xp.csv,srs,11,NA,NA
enonic_xp.csv,sshklianko,327,NA,NA
enonic_xp.csv,vbradnitski,368,NA,NA
enonic_xp.csv,vfi,229,NA,NA
fabric8io_fabric8.csv,alesj,11,NA,NA
fabric8io_fabric8.csv,astefanutti,4,NA,NA
fabric8io_fabric8.csv,bibryam,3,NA,NA
fabric8io_fabric8.csv,chirino,37,NA,NA
fabric8io_fabric8.csv,christian-posta,21,NA,NA
fabric8io_fabric8.csv,cmoulliard,18,NA,NA
fabric8io_fabric8.csv,cunningt,13,NA,NA
fabric8io_fabric8.csv,danbev,9,NA,NA
fabric8io_fabric8.csv,davsclaus,500,NA,NA
fabric8io_fabric8.csv,dejanb,35,NA,NA
fabric8io_fabric8.csv,dhirajsb,20,NA,NA
fabric8io_fabric8.csv,fabric8cd,33,NA,NA
fabric8io_fabric8.csv,feynmanliang,3,NA,NA
fabric8io_fabric8.csv,ffang,51,NA,NA
fabric8io_fabric8.csv,garethahealy,3,NA,NA
fabric8io_fabric8.csv,gashcrumb,26,NA,NA
fabric8io_fabric8.csv,gertv,18,NA,NA
fabric8io_fabric8.csv,gnodet,79,NA,NA
fabric8io_fabric8.csv,grgrzybek,63,NA,NA
fabric8io_fabric8.csv,hekonsek,102,NA,NA
fabric8io_fabric8.csv,iocanel,211,NA,NA
fabric8io_fabric8.csv,ivuk,5,NA,NA
fabric8io_fabric8.csv,jamesnetherton,14,NA,NA
fabric8io_fabric8.csv,janstey,83,NA,NA
fabric8io_fabric8.csv,jimmidyson,25,NA,NA
fabric8io_fabric8.csv,jrevillard,5,NA,NA
fabric8io_fabric8.csv,jstrachan,554,NA,NA
fabric8io_fabric8.csv,kenfinnigan,7,NA,NA
fabric8io_fabric8.csv,KurtStam,24,NA,NA
fabric8io_fabric8.csv,lburgazzoli,17,NA,NA
fabric8io_fabric8.csv,lhein,9,NA,NA
fabric8io_fabric8.csv,luksa,7,NA,NA
fabric8io_fabric8.csv,MarWestermann,6,NA,NA
fabric8io_fabric8.csv,nicolaferraro,28,NA,NA
fabric8io_fabric8.csv,NULL,30,NA,NA
fabric8io_fabric8.csv,oscerd,234,NA,NA
fabric8io_fabric8.csv,paoloantinori,15,NA,NA
fabric8io_fabric8.csv,piyush-garg,5,NA,NA
fabric8io_fabric8.csv,punkhorn,3,NA,NA
fabric8io_fabric8.csv,rajdavies,8,NA,NA
fabric8io_fabric8.csv,rawlingsj,224,NA,NA
fabric8io_fabric8.csv,rhuss,25,NA,NA
fabric8io_fabric8.csv,tabish121,5,NA,NA
fabric8io_fabric8.csv,tdiesler,181,NA,NA
fabric8io_fabric8.csv,valdar,4,NA,NA
fabric8io_fabric8.csv,vaskoz,3,NA,NA
fabric8io_fabric8.csv,WillemJiang,9,NA,NA
fabric8io_fabric8.csv,yongk802,4,NA,NA
fabric8io_fabric8.csv,zmhassan,4,NA,NA
mozilla_j2me.js.csv,brendandahl,73,NA,NA
mozilla_j2me.js.csv,marco-c,370,NA,NA
mozilla_j2me.js.csv,mbebenita,46,NA,NA
mozilla_j2me.js.csv,mykmelez,178,NA,NA
mozilla_j2me.js.csv,nnethercote,3,NA,NA
mozilla_j2me.js.csv,NULL,8,NA,NA
mozilla_j2me.js.csv,PinZhang,16,NA,NA
mozilla_j2me.js.csv,TimAbraldes,42,NA,NA
mozilla_j2me.js.csv,wfwalker,4,NA,NA
mozilla_j2me.js.csv,yxl,49,NA,NA
realtalk403_realtalk.csv,blee92,20,NA,NA
realtalk403_realtalk.csv,colinkho,23,NA,NA
realtalk403_realtalk.csv,CoryShiraishi,13,NA,NA
realtalk403_realtalk.csv,hazarij,17,NA,NA
realtalk403_realtalk.csv,joryrice,6,NA,NA
realtalk403_realtalk.csv,taylorsw,35,NA,NA
RostarSynergistics_ShinyExpenseTracker.csv,adamjford,18,NA,NA
RostarSynergistics_ShinyExpenseTracker.csv,ItsTristan,31,NA,NA
RostarSynergistics_ShinyExpenseTracker.csv,oleynikovo,13,NA,NA
RostarSynergistics_ShinyExpenseTracker.csv,ramish94,11,NA,NA
RostarSynergistics_ShinyExpenseTracker.csv,rkj777,6,NA,NA
RostarSynergistics_ShinyExpenseTracker.csv,saemorris,15,NA,NA
TEAMMATES_repo.csv,ablyx,9,NA,NA
TEAMMATES_repo.csv,adityabhatia52,3,NA,NA
