Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,
enonic_xp,closed,14,1400,437,963,,,
enonic_xp,closed,15,1500,455,1045,,,
enonic_xp,closed,16,1600,462,1138,,,
enonic_xp,closed,17,1700,478,1222,,,
enonic_xp,closed,18,1800,487,1313,,,
enonic_xp,closed,19,1900,502,1398,,,
enonic_xp,closed,20,2000,519,1481,,,
enonic_xp,closed,21,2100,538,1562,,,
enonic_xp,closed,22,2200,638,1562,,,
enonic_xp,closed,23,2300,738,1562,,,
enonic_xp,closed,24,2400,838,1562,,,
enonic_xp,closed,25,2500,938,1562,,,
enonic_xp,closed,26,2600,1038,1562,,,
enonic_xp,closed,27,2700,1138,1562,,,
enonic_xp,closed,28,2800,1238,1562,,,
enonic_xp,closed,29,2900,1338,1562,,,
enonic_xp,closed,30,3000,1438,1562,,,
enonic_xp,closed,31,3100,1538,1562,,,
enonic_xp,closed,32,3200,1638,1562,,,
enonic_xp,closed,33,3300,1738,1562,,,
enonic_xp,closed,34,3400,1838,1562,,,
enonic_xp,closed,35,3500,1938,1562,,,
enonic_xp,closed,36,3600,2038,1562,,,
enonic_xp,closed,37,3700,2138,1562,,,
enonic_xp,closed,38,3800,2238,1562,,,
enonic_xp,closed,39,3900,2338,1562,,,
enonic_xp,closed,40,4000,2438,1562,,,
enonic_xp,closed,41,4100,2538,1562,,,
enonic_xp,closed,42,4200,2638,1562,,,
enonic_xp,closed,43,4300,2738,1562,,,
enonic_xp,closed,44,4400,2838,1562,,,
enonic_xp,closed,45,100,0,100,,,
enonic_xp,closed,46,200,5,195,,,
enonic_xp,closed,47,300,20,280,,,
enonic_xp,closed,48,400,45,355,,,
enonic_xp,closed,49,500,71,429,,,
enonic_xp,closed,50,600,82,518,,,
enonic_xp,closed,51,700,85,615,,,
enonic_xp,closed,52,800,116,684,,,
mozilla_j2me.js,closed,1,100,20,80,,,
mozilla_j2me.js,closed,2,200,56,144,,,
mozilla_j2me.js,closed,3,300,73,227,,,
mozilla_j2me.js,closed,4,400,95,305,,,
mozilla_j2me.js,closed,5,500,122,378,,,
mozilla_j2me.js,closed,6,600,143,457,,,
mozilla_j2me.js,closed,7,700,189,511,,,
mozilla_j2me.js,closed,8,800,239,561,,,
mozilla_j2me.js,closed,9,900,339,561,,,
mozilla_j2me.js,closed,10,1000,439,561,,,
mozilla_j2me.js,closed,11,1100,539,561,,,
mozilla_j2me.js,closed,12,1200,639,561,,,
mozilla_j2me.js,closed,13,1224,663,561,,,
wildfly_wildfly,closed,1,100,100,0,,,
wildfly_wildfly,closed,2,200,200,0,,,
wildfly_wildfly,closed,3,300,300,0,,,
wildfly_wildfly,closed,4,400,400,0,,,
wildfly_wildfly,closed,5,500,500,0,,,
wildfly_wildfly,closed,6,600,600,0,,,
wildfly_wildfly,closed,7,700,700,0,,,
wildfly_wildfly,closed,8,800,800,0,,,
wildfly_wildfly,closed,9,900,900,0,,,
wildfly_wildfly,closed,10,1000,1000,0,,,
wildfly_wildfly,closed,11,1100,1100,0,,,
wildfly_wildfly,closed,12,1200,1200,0,,,
wildfly_wildfly,closed,13,1300,1300,0,,,
wildfly_wildfly,closed,14,1400,1400,0,,,
wildfly_wildfly,closed,15,1500,1500,0,,,
wildfly_wildfly,closed,16,1600,1600,0,,,
wildfly_wildfly,closed,17,1700,1700,0,,,
wildfly_wildfly,closed,18,1800,1800,0,,,
wildfly_wildfly,closed,19,1900,1900,0,,,
wildfly_wildfly,closed,20,2000,2000,0,,,
wildfly_wildfly,closed,21,2100,2100,0,,,
wildfly_wildfly,closed,22,2200,2200,0,,,
wildfly_wildfly,closed,23,2300,2300,0,,,
wildfly_wildfly,closed,24,100,44,56,,
wildfly_wildfly,closed,25,200,75,125,,
wildfly_wildfly,closed,26,300,109,191,,
wildfly_wildfly,closed,27,400,145,255,,
wildfly_wildfly,closed,28,500,167,333,,
wildfly_wildfly,closed,29,600,203,397,,
wildfly_wildfly,closed,30,700,243,457,,
wildfly_wildfly,closed,31,800,279,521,,
wildfly_wildfly,closed,32,900,318,582,,
wildfly_wildfly,closed,33,1000,348,652,,
wildfly_wildfly,closed,34,1100,379,721,,
wildfly_wildfly,closed,35,1200,412,788,,
wildfly_wildfly,closed,36,1300,439,861,,
wildfly_wildfly,closed,37,1400,476,924,,
wildfly_wildfly,closed,38,1500,510,990,,
